Periodo;Nivel General y Aperturas;Indice
"periodo";"nivel_general_aperturas";"indice_icc"
"1/1/2022";"i_movimiento_de_tierras";100
"1/1/2022";"2_estructura";100
"1/1/2022";"e_albanileria";100
"1/1/2022";"4_yeseria";100
"1/1/2022";"m_instalacion_sanitaria_y_contraincendio";100
"1/1/2022";"6_instalacion_de_gas";100
"1/1/2022";"t_instalacion_electrica";100
"1/1/2022";"b_carpinteria_metalica_y_herreria";100
"1/1/2022";"n_carpinteria_de_madera";100
"1/1/2022";"io_ascensores";100
"1/1/2022";"ii_vidrios";100
"1/1/2022";"i2_pintura";100
"1/1/2022";"ie_otros_trabajos_y_gastos";100
"1/2/2022";"i_movimiento_de_tierras";103,812933254688
"1/2/2022";"2_estructura";104,410773484463
"1/2/2022";"e_albanileria";103,927129746759
"1/2/2022";"4_yeseria";104,401086250664
"1/2/2022";"m_instalacion_sanitaria_y_contraincendio";103,745420563839
"1/2/2022";"6_instalacion_de_gas";101,542653418102
"1/2/2022";"t_instalacion_electrica";103,949007322413
"1/2/2022";"b_carpinteria_metalica_y_herreria";105,61061404405
"1/2/2022";"n_carpinteria_de_madera";104,348301581399
"1/2/2022";"io_ascensores";100,573196712996
"1/2/2022";"ii_vidrios";102,077324810975
"1/2/2022";"i2_pintura";101,735606808807
"1/2/2022";"ie_otros_trabajos_y_gastos";103,472367445486
"1/3/2022";"i_movimiento_de_tierras";105,983075692185
"1/3/2022";"2_estructura";109,511396618843
"1/3/2022";"e_albanileria";109,514064023334
"1/3/2022";"4_yeseria";109,920892614676
"1/3/2022";"m_instalacion_sanitaria_y_contraincendio";108,375716376808
"1/3/2022";"6_instalacion_de_gas";107,360815518714
"1/3/2022";"t_instalacion_electrica";109,003925417076
"1/3/2022";"b_carpinteria_metalica_y_herreria";107,490549238831
"1/3/2022";"n_carpinteria_de_madera";109,423871913209
"1/3/2022";"io_ascensores";103,236278786649
"1/3/2022";"ii_vidrios";108,048172110063
"1/3/2022";"i2_pintura";106,142159995352
"1/3/2022";"ie_otros_trabajos_y_gastos";110,412349575103
"1/4/2022";"i_movimiento_de_tierras";109,294937307645
"1/4/2022";"2_estructura";112,213708956353
"1/4/2022";"e_albanileria";110,331880332928
"1/4/2022";"4_yeseria";111,724422929335
"1/4/2022";"m_instalacion_sanitaria_y_contraincendio";112,976240686068
"1/4/2022";"6_instalacion_de_gas";113,027152326858
"1/4/2022";"t_instalacion_electrica";111,585642032158
"1/4/2022";"b_carpinteria_metalica_y_herreria";114,817625852028
"1/4/2022";"n_carpinteria_de_madera";115,61823311971
"1/4/2022";"io_ascensores";108,985999797099
"1/4/2022";"ii_vidrios";112,447384831242
"1/4/2022";"i2_pintura";108,528437808633
"1/4/2022";"ie_otros_trabajos_y_gastos";112,296344175966
"1/5/2022";"i_movimiento_de_tierras";116,207156330847
"1/5/2022";"2_estructura";120,593009340138
"1/5/2022";"e_albanileria";118,783991749321
"1/5/2022";"4_yeseria";120,331778735463
"1/5/2022";"m_instalacion_sanitaria_y_contraincendio";118,309474781055
"1/5/2022";"6_instalacion_de_gas";118,418305792406
"1/5/2022";"t_instalacion_electrica";119,241148939382
